source_dataset,country_id,country,year,rank,gdp_ppp_billions_intl_dollars
HOWMUCH_IMF_DERIVED,USA,United States,1980,1,2860.0
HOWMUCH_IMF_DERIVED,JPN,Japan,1980,2,1040.0
HOWMUCH_IMF_DERIVED,DEU,Germany,1980,3,586.0
HOWMUCH_IMF_DERIVED,ITA,Italy,1980,4,615.0
HOWMUCH_IMF_DERIVED,FRA,France,1980,5,579.0
HOWMUCH_IMF_DERIVED,BRA,Brazil,1980,6,571.0
HOWMUCH_IMF_DERIVED,GBR,United Kingdom,1980,7,496.0
HOWMUCH_IMF_DERIVED,SAU,Saudi Arabia,1980,8,419.0
HOWMUCH_IMF_DERIVED,MEX,Mexico,1980,9,405.0
HOWMUCH_IMF_DERIVED,IND,India,1980,10,372.0
HOWMUCH_IMF_DERIVED,USA,United States,1990,1,5960.0
HOWMUCH_IMF_DERIVED,JPN,Japan,1990,2,2450.0
HOWMUCH_IMF_DERIVED,DEU,Germany,1990,3,1620.0
HOWMUCH_IMF_DERIVED,ITA,Italy,1990,4,1150.0
HOWMUCH_IMF_DERIVED,FRA,France,1990,5,1110.0
HOWMUCH_IMF_DERIVED,CHN,"China, People's Republic of",1990,6,1110.0
HOWMUCH_IMF_DERIVED,BRA,Brazil,1990,7,1000.0
HOWMUCH_IMF_DERIVED,GBR,United Kingdom,1990,8,997.0
HOWMUCH_IMF_DERIVED,IND,India,1990,9,963.0
HOWMUCH_IMF_DERIVED,MEX,Mexico,1990,10,734.0
HOWMUCH_IMF_DERIVED,USA,United States,2000,1,10250.0
HOWMUCH_IMF_DERIVED,CHN,"China, People's Republic of",2000,2,3660.0
HOWMUCH_IMF_DERIVED,JPN,Japan,2000,3,3420.0
HOWMUCH_IMF_DERIVED,DEU,Germany,2000,4,2400.0
HOWMUCH_IMF_DERIVED,IND,India,2000,5,2029.9999999999998
HOWMUCH_IMF_DERIVED,FRA,France,2000,6,1680.0
HOWMUCH_IMF_DERIVED,ITA,Italy,2000,7,1660.0
HOWMUCH_IMF_DERIVED,BRA,Brazil,2000,8,1580.0
HOWMUCH_IMF_DERIVED,GBR,United Kingdom,2000,9,1560.0
HOWMUCH_IMF_DERIVED,RUS,Russian Federation,2000,10,1540.0
HOWMUCH_IMF_DERIVED,USA,United States,2010,1,14990.0
HOWMUCH_IMF_DERIVED,CHN,"China, People's Republic of",2010,2,12290.0
HOWMUCH_IMF_DERIVED,IND,India,2010,3,5160.0
HOWMUCH_IMF_DERIVED,JPN,Japan,2010,4,4480.0
HOWMUCH_IMF_DERIVED,DEU,Germany,2010,5,3220.0
HOWMUCH_IMF_DERIVED,RUS,Russian Federation,2010,6,3040.0
HOWMUCH_IMF_DERIVED,BRA,Brazil,2010,7,2800.0
HOWMUCH_IMF_DERIVED,FRA,France,2010,8,2350.0
HOWMUCH_IMF_DERIVED,GBR,United Kingdom,2010,9,2270.0
HOWMUCH_IMF_DERIVED,ITA,Italy,2010,10,2110.0
HOWMUCH_IMF_DERIVED,CHN,"China, People's Republic of",2020,1,24160.0
HOWMUCH_IMF_DERIVED,USA,United States,2020,2,20810.0
HOWMUCH_IMF_DERIVED,IND,India,2020,3,8680.0
HOWMUCH_IMF_DERIVED,JPN,Japan,2020,4,5240.0
HOWMUCH_IMF_DERIVED,DEU,Germany,2020,5,4450.0
HOWMUCH_IMF_DERIVED,RUS,Russian Federation,2020,6,4019.9999999999995
HOWMUCH_IMF_DERIVED,IDN,Indonesia,2020,7,3330.0
HOWMUCH_IMF_DERIVED,BRA,Brazil,2020,8,3080.0
HOWMUCH_IMF_DERIVED,GBR,United Kingdom,2020,9,2980.0
HOWMUCH_IMF_DERIVED,FRA,France,2020,10,2950.0
HOWMUCH_IMF_DERIVED,CHN,"China, People's Republic of",2021,1,26730.0
HOWMUCH_IMF_DERIVED,USA,United States,2021,2,21920.0
HOWMUCH_IMF_DERIVED,IND,India,2021,3,9650.0
HOWMUCH_IMF_DERIVED,JPN,Japan,2021,4,5480.0
HOWMUCH_IMF_DERIVED,DEU,Germany,2021,5,4740.0
HOWMUCH_IMF_DERIVED,RUS,Russian Federation,2021,6,4230.0
HOWMUCH_IMF_DERIVED,IDN,Indonesia,2021,7,3610.0
HOWMUCH_IMF_DERIVED,BRA,Brazil,2021,8,3240.0
HOWMUCH_IMF_DERIVED,GBR,United Kingdom,2021,9,3220.0
HOWMUCH_IMF_DERIVED,FRA,France,2021,10,3200.0
HOWMUCH_IMF_DERIVED,CHN,"China, People's Republic of",2022,1,28780.0
HOWMUCH_IMF_DERIVED,USA,United States,2022,2,22970.0
HOWMUCH_IMF_DERIVED,IND,India,2022,3,10610.0
HOWMUCH_IMF_DERIVED,JPN,Japan,2022,4,5670.0
HOWMUCH_IMF_DERIVED,DEU,Germany,2022,5,4990.0
HOWMUCH_IMF_DERIVED,RUS,Russian Federation,2022,6,4400.0
HOWMUCH_IMF_DERIVED,IDN,Indonesia,2022,7,3870.0
HOWMUCH_IMF_DERIVED,BRA,Brazil,2022,8,3370.0
HOWMUCH_IMF_DERIVED,GBR,United Kingdom,2022,9,3390.0
HOWMUCH_IMF_DERIVED,FRA,France,2022,10,3350.0
IMF_WEO,USA,United States,1980,1,2857.325
IMF_WEO,JPN,Japan,1980,2,1027.574
IMF_WEO,DEU,Germany,1980,3,922.849
IMF_WEO,ITA,Italy,1980,4,623.346
IMF_WEO,FRA,France,1980,5,592.732
IMF_WEO,GBR,United Kingdom,1980,6,528.578
IMF_WEO,BRA,Brazil,1980,7,524.99
IMF_WEO,MEX,Mexico,1980,8,441.519
IMF_WEO,IND,India,1980,9,366.458
IMF_WEO,SAU,Saudi Arabia,1980,10,319.006
IMF_WEO,USA,United States,1990,1,5963.125
IMF_WEO,JPN,Japan,1990,2,2405.271
IMF_WEO,DEU,Germany,1990,3,1744.915
IMF_WEO,ITA,Italy,1990,4,1236.917
IMF_WEO,FRA,France,1990,5,1143.643
IMF_WEO,GBR,United Kingdom,1990,6,1053.961
IMF_WEO,CHN,"China, People's Republic of",1990,7,995.375
IMF_WEO,IND,India,1990,8,947.83
IMF_WEO,BRA,Brazil,1990,9,922.224
IMF_WEO,MEX,Mexico,1990,10,793.392
IMF_WEO,USA,United States,2000,1,10250.95
IMF_WEO,JPN,Japan,2000,2,3350.556
IMF_WEO,CHN,"China, People's Republic of",2000,3,3338.299
IMF_WEO,DEU,Germany,2000,4,2609.614
IMF_WEO,IND,India,2000,5,1999.921
IMF_WEO,ITA,Italy,2000,6,1798.835
IMF_WEO,FRA,France,2000,7,1743.47
IMF_WEO,GBR,United Kingdom,2000,8,1655.214
IMF_WEO,RUS,Russian Federation,2000,9,1556.696
IMF_WEO,BRA,Brazil,2000,10,1455.848
IMF_WEO,USA,United States,2010,1,15048.975
IMF_WEO,CHN,"China, People's Republic of",2010,2,11225.111
IMF_WEO,IND,India,2010,3,4729.221
IMF_WEO,JPN,Japan,2010,4,4370.105
IMF_WEO,DEU,Germany,2010,5,3511.345
IMF_WEO,RUS,Russian Federation,2010,6,3076.938
IMF_WEO,BRA,Brazil,2010,7,2575.879
IMF_WEO,FRA,France,2010,8,2448.257
IMF_WEO,GBR,United Kingdom,2010,9,2363.63
IMF_WEO,ITA,Italy,2010,10,2280.487
IMF_WEO,CHN,"China, People's Republic of",2020,1,25960.998
IMF_WEO,USA,United States,2020,2,21375.275
IMF_WEO,IND,India,2020,3,9771.023
IMF_WEO,JPN,Japan,2020,4,5356.711
IMF_WEO,DEU,Germany,2020,5,4881.924
IMF_WEO,RUS,Russian Federation,2020,6,4651.43
IMF_WEO,BRA,Brazil,2020,7,3359.777
IMF_WEO,FRA,France,2020,8,3345.026
IMF_WEO,IDN,Indonesia,2020,9,3223.405
IMF_WEO,GBR,United Kingdom,2020,10,3219.069
IMF_WEO,CHN,"China, People's Republic of",2021,1,29420.351
IMF_WEO,USA,United States,2021,2,23725.65
IMF_WEO,IND,India,2021,3,11384.368
IMF_WEO,RUS,Russian Federation,2021,4,5688.268
IMF_WEO,JPN,Japan,2021,5,5604.066
IMF_WEO,DEU,Germany,2021,6,5245.574
IMF_WEO,BRA,Brazil,2021,7,3787.77
IMF_WEO,FRA,France,2021,8,3656.802
IMF_WEO,GBR,United Kingdom,2021,9,3543.829
IMF_WEO,IDN,Indonesia,2021,10,3530.623
IMF_WEO,CHN,"China, People's Republic of",2022,1,32493.554
IMF_WEO,USA,United States,2022,2,26054.6
IMF_WEO,IND,India,2022,3,13121.957
IMF_WEO,JPN,Japan,2022,4,6060.3
IMF_WEO,RUS,Russian Federation,2022,5,6005.355
IMF_WEO,DEU,Germany,2022,6,5720.184
IMF_WEO,BRA,Brazil,2022,7,4179.563
IMF_WEO,FRA,France,2022,8,4026.598
IMF_WEO,IDN,Indonesia,2022,9,3982.44
IMF_WEO,GBR,United Kingdom,2022,10,3979.566
